genotype,Pop,Latitude,Longitude,Ac,Li,Ac_CNV,Li_CNV,CNH,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,current_30arcsec_embergerQ,current_30arcsec_growingDegDays0,current_30arcsec_growingDegDays5,current_30arcsec_maxTempColdest,current_30arcsec_minTempWarmest,current_30arcsec_monthCountByTemp10,current_30arcsec_PETColdestQuarter,current_30arcsec_PETDriestQuarter,current_30arcsec_PETseasonality,current_30arcsec_PETWarmestQuarter,current_30arcsec_PETWettestQuarter,current_30arcsec_thermicityIndex,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9
BAL_019,BAL,33.4760152,-86.8197731,0,0,0,0,0,1316.0080078125,26.07399978637695,0.0780000001192093,21.370000076293945,149.99199829101562,70905.6,69734.7,108.4,206.4,9,48.12799987792969,127.38399963378906,5110.780078125,170.10799865722657,94.13400115966797,287.55,16.803333282470703,25.92666702270508,7.166666698455811,1454.4,168.6,82.6,18.696300888061522,435,282.4,335.6,396.4,13.149999809265136,39.969660949707034,760.9753051757813,32.85999984741211,-0.04000000059604645,32.89999923706055,8.803333282470703,22.229999542236328
BAL_020,BAL,33.487966,-86.817766,1,0,5,0,0,1325.056640625,25.809999465942383,0.06666666517655055,21.28333282470703,148.91999308268228,71448,71448,111,207.66666666666666,9,48.59999974568685,128.10333251953125,5132.3466796875,171.01667277018228,75.06333414713542,291.9166666666667,16.995833079020183,26.183333079020183,7.294444402058919,1442,167.66666666666666,82.33333333333333,18.82720692952474,432.3333333333333,279.3333333333333,331.3333333333333,393,13.252777735392252,40.038492838541664,766.0112508138021,33.13333257039388,0.033333333830038704,33.09999974568685,8.955555280049643,22.438888549804688
BAL_021,BAL,33.4931613,-86.7961006,1,1,3,2,1,1311.5059814453125,26.284000396728516,0.08400000110268593,21.360000228881837,150.87799987792968,70336.8,66207,107.6,205.6,9,47.95,126.86000061035156,5091.46201171875,169.34400329589843,70.24200057983398,284,16.838333129882812,25.983333587646484,7.169999885559082,1453.4,168.4,83,18.61923713684082,434.8,282.6,334.6,395,13.146666717529296,39.88660583496094,762.9901123046875,32.9,-0.06000000089406967,32.959999084472656,8.823333358764648,22.266666412353516
BAL_024,BAL,33.438553,-86.837503,1,1,2,2,1,1328.3475036621094,27.177500247955322,0.07499999925494194,21.274999618530273,150.0374984741211,71379,71379,110.75,206.5,9,48.71000003814697,128.47249603271484,5146.287353515625,171.47750091552734,72.67000198364258,290.625,16.60520839691162,25.69583225250244,7.049999952316284,1455.25,169,81.25,18.99067735671997,437.5,280.5,336.5,399.5,13.077083349227905,40.0523042678833,755.9550933837891,32.64999866485596,0,32.64999866485596,8.649999856948853,22.03749990463257
BAL_027,BAL,33.51721,-86.766378,0,0,0,0,0,1315.1025085449219,26.89750051498413,0.07250000070780516,21.27500009536743,149.84249877929688,70501.5,68646.375,108.5,205.5,9,48.05500030517578,127.41250038146973,5105.9425048828125,169.72999572753906,64.40499973297119,284.875,16.875,26.05000066757202,7.141666650772095,1440.5,167.5,83.75,18.492380619049072,430,282,331.25,388,13.1875,39.90152835845947,766.3447570800781,32.95000076293945,-0.10000000149011612,33.05000019073486,8.820833444595337,22.325000286102295
BAL_031,BAL,33.500044,-86.807627,1,1,2,2,1,1327.3250122070312,26.260000228881836,0.057499999180436134,21.324999809265137,148.11499786376953,71532,71532,111,208,9,48.61250019073486,128.32500457763672,5146.8675537109375,171.25,65.17250061035156,292.875,17.070833206176758,26.28333282470703,7.329166650772095,1434.25,167,82,18.943909168243408,431,277.5,328.75,391.5,13.299999713897705,40.03013896942139,768.8889617919922,33.25,0.02500000037252903,33.22500038146973,9.0041663646698,22.53749942779541
BAL_043,BAL,33.455556,-86.628056,1,1,5,2,1,1342.6175231933594,26.864999771118164,0.05999999959021807,21.02500009536743,149.68249893188477,70942.5,70942.5,112.5,203,9,49.42750072479248,130.05500030517578,5179.5474853515625,172.80249786376953,66.07250213623047,286.75,16.276041984558105,25.237499713897705,6.899999976158142,1434,167.75,82,18.804585933685303,431.75,279.5,331.75,388.25,13.110416650772095,40.558207511901855,742.3525390625,32.22499942779541,-0.10000000149011612,32.324997901916504,8.5,21.62083339691162
BID_001,BID,43.596111,-116.222222,0,0,0,0,0,1133.8900146484375,81.03800048828126,-0.7200000286102295,24.52999954223633,29.063999938964844,38499,29268,28.4,137,6,21.997999572753905,164.69200134277344,6742.7220703125,184.84599914550782,20.75799980163574,144.55,10.797500228881836,21.596667098999024,0.44999995827674866,320,39.6,8,39.94948272705078,114.4,36,38,106.6,13.718333053588868,36.91695938110352,856.2411376953125,32.05999908447266,-5.099999904632568,37.15999755859375,1.1333332061767578,21.066666030883788
BID_002,BID,43.596111,-116.222222,0,1,0,1,0,1133.8900146484375,81.03800048828126,-0.7200000286102295,24.52999954223633,29.063999938964844,38499,29268,28.4,137,6,21.997999572753905,164.69200134277344,6742.7220703125,184.84599914550782,20.75799980163574,144.55,10.797500228881836,21.596667098999024,0.44999995827674866,320,39.6,8,39.94948272705078,114.4,36,38,106.6,13.718333053588868,36.91695938110352,856.2411376953125,32.05999908447266,-5.099999904632568,37.15999755859375,1.1333332061767578,21.066666030883788
BID_003,BID,43.596111,-116.222222,0,1,0,1,0,1133.8900146484375,81.03800048828126,-0.7200000286102295,24.52999954223633,29.063999938964844,38499,29268,28.4,137,6,21.997999572753905,164.69200134277344,6742.7220703125,184.84599914550782,20.75799980163574,144.55,10.797500228881836,21.596667098999024,0.44999995827674866,320,39.6,8,39.94948272705078,114.4,36,38,106.6,13.718333053588868,36.91695938110352,856.2411376953125,32.05999908447266,-5.099999904632568,37.15999755859375,1.1333332061767578,21.066666030883788
